Date,Temp_N,Temp_O,LUX_N,LUX_O
4/19/15 15:30,25.513,25.708,5166.7,2411.1
4/19/15 16:00,25.513,25.805,3961.1,1894.5
4/19/15 16:30,25.513,25.805,1377.8,5511.1
4/19/15 17:00,25.513,25.708,3100,4994.5
4/19/15 17:30,25.416,25.61,1377.8,3100
4/19/15 18:00,25.416,25.416,505.9,1141
4/19/15 18:30,25.416,25.416,129.2,279.9
4/19/15 19:00,25.319,25.319,0,0
4/19/15 19:30,25.222,25.319,0,0
4/19/15 20:00,25.222,25.222,0,0
4/19/15 20:30,25.222,25.222,0,0
4/19/15 21:00,25.125,25.125,0,0
4/19/15 21:30,24.931,25.125,0,0
4/19/15 22:00,24.835,25.028,0,0
4/19/15 22:30,24.835,25.028,0,0
4/19/15 23:00,24.931,24.931,0,0
4/19/15 23:30,24.738,24.931,0,0
4/20/15 0:00,24.738,24.931,0,0
4/20/15 0:30,24.641,24.931,0,0
4/20/15 1:00,24.545,24.931,0,0
4/20/15 1:30,24.545,24.931,0,0
4/20/15 2:00,24.448,24.931,0,0
4/20/15 2:30,24.448,24.931,0,0
4/20/15 3:00,24.351,24.931,0,0
4/20/15 3:30,24.351,24.931,0,0
4/20/15 4:00,24.255,24.931,0,0
4/20/15 4:30,24.351,24.835,0,0
4/20/15 5:00,24.351,24.835,0,0
4/20/15 5:30,24.351,24.835,0,0
4/20/15 6:00,24.351,24.835,0,0
4/20/15 6:30,24.351,24.835,86.1,32.3
4/20/15 7:00,24.351,24.835,247.6,64.6
4/20/15 7:30,24.255,24.738,172.2,86.1
4/20/15 8:00,24.158,24.545,678.1,183
4/20/15 8:30,24.255,24.545,904.2,398.3
4/20/15 9:00,24.351,24.545,1550,645.8
4/20/15 9:30,24.448,24.641,581.3,1463.9
4/20/15 10:00,24.545,24.641,1894.5,1636.1
4/20/15 10:30,24.448,24.738,1550,3272.2
4/20/15 11:00,24.448,24.835,2152.8,2927.8
4/20/15 11:30,24.448,24.835,1377.8,3100
4/20/15 12:00,24.545,25.319,2927.8,5511.1
4/20/15 12:30,24.545,25.513,1151.7,4133.4
4/20/15 13:00,24.641,25.805,2152.8,8611.2
4/20/15 13:30,24.835,26.195,3272.2,14466.8
4/20/15 14:00,24.835,26.097,4994.5,5511.1
4/20/15 14:30,24.931,25.61,1980.6,430.6
4/20/15 15:00,24.931,25.513,1722.2,322.9
4/20/15 15:30,25.028,25.61,2927.8,441.3
4/20/15 16:00,25.125,25.513,2497.2,129.2
4/20/15 16:30,25.125,25.513,1722.2,75.3
4/20/15 17:00,25.125,25.513,1227.1,64.6
4/20/15 17:30,25.028,25.319,409,21.5
4/20/15 18:00,24.931,25.222,290.6,43.1
4/20/15 18:30,24.931,25.125,53.8,0
4/20/15 19:00,24.931,25.028,0,0
4/20/15 19:30,24.835,25.028,0,0
4/20/15 20:00,24.835,25.028,0,0
4/20/15 20:30,24.835,24.931,0,0
4/20/15 21:00,24.738,24.835,0,0
4/20/15 21:30,24.641,24.931,0,0
4/20/15 22:00,24.641,24.931,0,0
4/20/15 22:30,24.545,24.835,0,0
4/20/15 23:00,24.448,24.835,0,0
4/20/15 23:30,24.448,24.738,0,0
4/21/15 0:00,24.351,24.835,0,0
