"","PROTID","NN1","NN1.1","NN1.2","NN2","NN2.1","NN2.2","NN3","NN3.1","NN3.2","NO1","NO1.1","NO1.2","NO2","NO2.1","NO2.2","NO3","NO3.1","NO3.2","ON1","ON1.1","ON1.2","ON2","ON2.1","ON3","ON3.1","ON3.2","OO1","OO1.1","OO1.2","OO2","OO2.1","OO2.2","OO3","OO3.1","OO3.2"
"1","m.10260",8.8057,19.0006,8.4687,0,16.2506,0,0,0,0,8.1946,0,0,8.6155,0,0,0,0,0,8.1786,0,0,0,0,0,0,0,0,9.1465,20.1284,9.5557,9.5775,18.4075,9.473,0,28.7954
"2","m.10928",0,0,0,0,7.8218,4.765,0,0,0,0,0,4.4596,0,2.4316,0,0,0,0,0,17.4894,8.8428,0,17.8466,13.7564,0,7.5292,22.9689,20.5448,0,21.464,18.4396,14.7668,15.1987,15.0869,12.32
"3","m.12572",0,0,0,0,5.8181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6743,0,0,0,0,0,0,0,0,0,0,0
"4","m.12818",74.0953,102.7804,81.4399,86.191,107.439,89.2507,90.5145,83.6873,80.0021,68.9536,77.3417,75.1778,93.2082,91.0902,80.0204,45.4092,88.1164,79.7048,68.8188,54.5977,77.2941,109.9207,143.2613,64.4161,84.5876,84.6161,96.7996,76.9631,60.4895,91.8934,69.077,77.4451,79.7106,90.4277,92.3043
"5","m.13400",4.0374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","m.1440",2.4525,2.6459,0,6.6566,0,0,6.2915,6.4632,4.1191,20.5406,1.9911,0,7.1986,2.1105,2.06,2.1042,0,4.1038,4.5557,2.53,0,7.8363,0,0,0,0,0,0,11.212,0,0,0,0,0,0
"7","m.15200",5.1851,5.5941,0,4.6912,0,0,0,0,0,9.6505,2.1048,0,5.0731,0,0,0,0,0,4.8158,0,0,14.4966,7.0176,0,0,0,0,8.0786,11.8523,5.6267,5.6395,2.7097,5.578,8.3055,5.6519
"8","m.15220",4.0215,0,0,7.2768,22.2646,6.7816,0,0,0,22.4545,0,0,23.6079,3.4607,3.3779,10.3512,0,0,3.7351,4.1486,0,6.4248,14.5141,4.8946,0,0,16.345,16.7085,18.385,21.8202,21.8698,29.423,25.9575,4.2944,13.1506
"9","m.16208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3008,0,0,0,0,0,0,0,0,0,0,0
"10","m.17686",19.5494,26.3644,23.5017,4.4218,4.5097,0,16.717,12.8801,12.3129,18.1928,15.8713,11.5704,9.5636,4.2058,4.1052,8.3866,8.1371,4.0891,18.1573,30.2508,25.4917,35.1366,30.8686,23.7939,13.0187,13.0231,9.9321,5.0765,5.5859,5.3037,0,5.1083,5.2577,0,5.3274
