Protein,Len,NN,NN,NN,ON,ON,ON,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,DEFLINE,Uniprot
m.1,362,5,5,8,0,6,0,-0.616,-1.4322,0,0.630094,0,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,P21369
m.1000,214,30,28,39,43,22,19,0.083,0.5649,0.849869,0.141065,0.74081,Myophilin OS=Echinococcus granulosus PE=2 SV=1,Q24799
m.10007,400,1,0,0,0,0,0,0.25,0.3004,1,0.486084,0.665956,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2,Q9P0J7
m.10009,206,2,6,3,6,6,3,0.551,1.397,0.000012,0,0.66898,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1,Q5P203
m.10012,278,13,4,3,3,1,1,-1.26,-2.2466,0,0.608755,0,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1,O89026
m.10015,205,17,13,18,19,13,7,0.038,0.1736,0.999936,0.605463,0.566894,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1,B4JT39
m.10038,212,3,2,0,0,1,0,-0.604,-0.7937,0.000405,0.66324,0.000018,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1,P86854
m.1005,498,14,16,18,20,18,15,0.311,1.6652,0,0,0.652419,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1,Q13310
m.10055,770,0,0,0,0,0,2,0.434,0.5134,0.938652,0.20022,0.736104,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1,Q91437
m.10061,510,0,0,0,0,1,0,0.255,0.2905,1,0.497449,0.660146,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1,Q64459
m.1007,159,0,0,0,0,2,0,0.477,0.5588,0.862641,0.147472,0.740454,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3,P20965
m.10080,526,33,44,23,21,18,11,-0.457,-2.6365,0,0.603368,0,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2,Q14247
m.10093,673,1,1,0,2,0,0,0.498,0.5923,0.785353,0.114433,0.741807,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1,B0FYY4
m.10101,187,0,1,0,0,2,1,0.498,0.6276,0.687301,0.085398,0.741765,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2,Q8LGG8
m.10110,697,0,1,0,1,0,1,0.23,0.2406,1,0.549488,0.626189,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1,O11780
m.10111,222,8,5,5,2,8,2,-0.21,-0.556,0.021685,0.684407,0.001214,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1,3660641
m.1013,969,0,0,1,0,0,0,0.038,0.0476,1,0.673312,0.410606,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1,A7RU46
m.10132,182,1,4,0,0,2,0,-0.226,-0.3432,0.276069,0.705558,0.021709,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1,Q6NZW8
m.10133,155,0,0,0,0,1,0,0.259,0.2992,1,0.487479,0.665267,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4,Q9DBC0
m.10135,467,11,6,10,9,17,16,0.665,2.5866,0,0,0.615203,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",Q9YI37
m.10138,474,0,0,1,2,2,0,0.704,0.9468,0.037124,0.001994,0.710279,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1,O77775
m.10139,271,0,2,0,7,0,1,1.05,1.7532,0,0,0.647722,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1,Q8R1W8
m.10145,179,0,0,0,0,1,0,0.189,0.2123,1,0.57504,0.603163,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1,3287590
m.10146,361,0,0,0,0,1,0,0.281,0.3031,1,0.482927,0.667491,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2,O43639
m.10164,157,1,1,1,0,1,0,0.165,0.1942,0.999854,0.589903,0.586904,m.10164,
m.10168,220,2,0,0,0,2,0,0.22,0.2927,1,0.494953,0.661462,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1,Q61205
m.10171,529,0,0,1,0,0,0,0.152,0.1639,1,0.612308,0.556904,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1,Q5XI29
m.10182,249,3,1,0,1,0,0,-0.352,-0.4552,0.083628,0.694663,0.005286,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2,O75937
m.10194,572,15,34,24,40,47,19,0.601,4.0221,0,0,0.596105,"Aspartate--tRNA ligase, cytoplasmic OS=Rattus norvegicus GN=Dars PE=2 SV=1",P15178
m.10196,145,1,1,0,0,0,0,0.238,0.267,1,0.523063,0.645159,Glutathione peroxidase 1 OS=Rattus norvegicus GN=Gpx1 PE=1 SV=4,P04041
m.10199,219,20,13,24,15,14,3,-0.359,-1.6605,0,0.62216,0,Ras-related protein Rab-2 OS=Lymnaea stagnalis GN=RAB2 PE=2 SV=1,Q05975
