PROTID,UniprotID,Name
m.1,P21369,Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1                    
m.10,XP_001641321,predicted protein [Nematostella vectensis]                        
m.100,B5X4H8,Riboflavin transporter 2 OS=Salmo salar GN=rft2 PE=2 SV=1                    
m.1000,Q24799,Myophilin OS=Echinococcus granulosus PE=2 SV=1                       
m.10000,Q9VBW3,Tyrosine kinase receptor Cad96Ca OS=Drosophila melanogaster GN=Cad96Ca PE=2 SV=2                   
m.10001,3681368,Putative uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_117755 PE=4 SV=1                    
m.10004,3283578,Predicted protein OS=Nematostella vectensis GN=v1g218335 PE=4 SV=1                     
m.10005,Q5FVL2,ER membrane protein complex subunit 8 OS=Rattus norvegicus GN=Emc8 PE=2 SV=1                 
m.10006,4512834,Uncharacterized protein OS=Strongylocentrotus purpuratus PE=4 SV=1                      
m.10007,Q9P0J7,E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens GN=KCMF1 PE=1 SV=2                   
m.10008,P11533,Dystrophin OS=Gallus gallus GN=DMD PE=2 SV=1                      
m.10009,Q5P203,Putative regulator of ribonuclease activity OS=Aromatoleum aromaticum (strain EbN1) GN=AZOSEA25360 PE=3 SV=1                
m.1001,P30938,Somatostatin receptor type 5 OS=Rattus norvegicus GN=Sstr5 PE=1 SV=2                   
m.10012,O89026,Roundabout homolog 1 OS=Mus musculus GN=Robo1 PE=1 SV=1                    
m.10013,P30622,CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1 PE=1 SV=2                  
m.10014,Q8N1D5,Uncharacterized protein C1orf158 OS=Homo sapiens GN=C1orf158 PE=2 SV=2                    
m.10015,B4JT39,Mesencephalic astrocyte-derived neurotrophic factor homolog OS=Drosophila grimshawi GN=Manf PE=3 SV=1                  
m.10016,P81019,Seminal plasma protein BSP-30 kDa OS=Bos taurus PE=1 SV=2                   
m.10017,O88484,[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2 mitochondrial OS=Rattus norvegicus GN=Pdp2 PE=2 SV=1                           
m.1002,3270652,Predicted protein OS=Nematostella vectensis GN=v1g240580 PE=4 SV=1                     
m.10022,Q9VJJ7,Transient receptor potential-gamma protein OS=Drosophila melanogaster GN=Trpgamma PE=1 SV=2                   
m.10024,Q9HB21,Pleckstrin homology domain-containing family A member 1 OS=Homo sapiens GN=PLEKHA1 PE=1 SV=2                
m.10025,Q6NRE4,GRB2-associated and regulator of MAPK protein OS=Xenopus laevis GN=garem PE=2 SV=1                 
m.10027,P30532,Neuronal acetylcholine receptor subunit alpha-5 OS=Homo sapiens GN=CHRNA5 PE=2 SV=2                  
m.10028,Q08DE6,Aquaporin-3 OS=Bos taurus GN=AQP3 PE=2 SV=1                      
m.10029,P11352,Glutathione peroxidase 1 OS=Mus musculus GN=Gpx1 PE=1 SV=2                    
m.10030,O89032,SH3 and PX domain-containing protein 2A OS=Mus musculus GN=Sh3pxd2a PE=1 SV=2                 
m.10033,Q8BHL3,TBC1 domain family member 10B OS=Mus musculus GN=Tbc1d10b PE=1 SV=2                  
m.10034,3271970,Predicted protein OS=Nematostella vectensis GN=v1g241333 PE=4 SV=1                     
m.10035,Q9P281,BAH and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=BAHCC1 PE=2 SV=3                 
m.10038,P86854,Perlucin-like protein OS=Mytilus galloprovincialis PE=1 SV=1                      
m.10040,Q6IVY4,Protein phosphatase Slingshot homolog OS=Xenopus laevis GN=ssh PE=1 SV=2                   
m.10041,Q2TL32,E3 ubiquitin-protein ligase UBR4 OS=Rattus norvegicus GN=Ubr4 PE=1 SV=2                   
m.10042,4115079,Putative uncharacterized protein OS=Daphnia pulex GN=DAPPUDRAFT_325574 PE=4 SV=1                    
m.10048,E1C1R4,Ubiquitin carboxyl-terminal hydrolase 47 OS=Gallus gallus GN=USP47 PE=3 SV=1                   
m.1005,Q13310,Polyadenylate-binding protein 4 OS=Homo sapiens GN=PABPC4 PE=1 SV=1                    
m.10052,P52569,Low affinity cationic amino acid transporter 2 OS=Homo sapiens GN=SLC7A2 PE=1 SV=2                
m.10053,Q8AV57,Protein sidekick-2 OS=Gallus gallus GN=SDK2 PE=2 SV=2                     
m.10054,Q8IUX7,Adipocyte enhancer-binding protein 1 OS=Homo sapiens GN=AEBP1 PE=1 SV=1                   
m.10055,Q91437,CAD protein OS=Squalus acanthias GN=CAD PE=2 SV=1                     
m.10057,A7RRG3,Protein AKTIP homolog OS=Nematostella vectensis GN=v1g232160 PE=3 SV=1                    
m.10058,A7SGF0,Protein MEF2BNB homolog OS=Nematostella vectensis GN=v1g233178 PE=3 SV=1                    
m.10061,Q64459,Cytochrome P450 3A11 OS=Mus musculus GN=Cyp3a11 PE=1 SV=1                    
m.1007,P20965,Polyadenylate-binding protein 1-A OS=Xenopus laevis GN=pabpc1-a PE=1 SV=3                    
m.10071,3277892,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g115283 PE=4 SV=1                    
m.10073,Q0VCR6,Transmembrane protein 68 OS=Bos taurus GN=TMEM68 PE=2 SV=1                    
m.10075,Q62737,Cytochrome b-245 light chain OS=Rattus norvegicus GN=Cyba PE=2 SV=3                   
m.10076,Q32P65,Mimitin mitochondrial OS=Bos taurus GN=NDUFAF2 PE=2 SV=1                           
m.10077,Q8K430,Kelch-like protein 17 OS=Rattus norvegicus GN=Klhl17 PE=1 SV=1                    
m.10078,A8E7C5,Phosphatidylinositide phosphatase SAC2 OS=Danio rerio GN=inpp5f PE=3 SV=1                    
m.1008,5097604,Putative uncharacterized protein AtSym-02 OS=Acropora tenuis GN=AtSym-02 PE=2 SV=1                   
m.10080,Q14247,Src substrate cortactin OS=Homo sapiens GN=CTTN PE=1 SV=2                    
m.10083,Q9BGN4,Thyrotropin receptor OS=Felis catus GN=TSHR PE=2 SV=1                     
m.10089,Q5W111,SPRY domain-containing protein 7 OS=Homo sapiens GN=SPRYD7 PE=1 SV=2                   
m.1009,3282145,Predicted protein OS=Nematostella vectensis GN=v1g246997 PE=4 SV=1                     
m.10090,Q76LW2,Heparan-sulfate 6-O-sulfotransferase 2 OS=Gallus gallus GN=HS6ST2 PE=1 SV=1                    
m.10092,P42325,Neurocalcin homolog OS=Drosophila melanogaster GN=Nca PE=1 SV=2                     
m.10093,B0FYY4,Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1                     
m.10095,P16066,Atrial natriuretic peptide receptor 1 OS=Homo sapiens GN=NPR1 PE=1 SV=1                  
m.10096,Q6VTH5,Radial spoke head 1 homolog OS=Cyprinus carpio GN=rsph1 PE=1 SV=1                  
m.10097,Q66J85,AN1-type zinc finger protein 3 homolog OS=Xenopus laevis GN=zfand3 PE=2 SV=1                 
m.1010,Q9D902,General transcription factor IIE subunit 2 OS=Mus musculus GN=Gtf2e2 PE=2 SV=2                 
m.10100,P21359,Neurofibromin OS=Homo sapiens GN=NF1 PE=1 SV=2                      
m.10101,Q8LGG8,Universal stress protein A-like protein OS=Arabidopsis thaliana GN=At3g01520 PE=1 SV=2                  
m.10103,Q91048,Inactive tyrosine-protein kinase 7 OS=Gallus gallus GN=PTK7 PE=2 SV=1                   
m.10104,B4KPU0,Tyrosine-protein kinase-like otk OS=Drosophila mojavensis GN=otk PE=3 SV=1                    
m.10106,Q9BUZ4,TNF receptor-associated factor 4 OS=Homo sapiens GN=TRAF4 PE=1 SV=1                   
m.10107,Q7RTR2,Protein NLRC3 OS=Homo sapiens GN=NLRC3 PE=2 SV=2                     
m.10108,Q90WY4,Alpha-2A adrenergic receptor OS=Danio rerio GN=adra2a PE=3 SV=1                    
m.10109,O43597,Protein sprouty homolog 2 OS=Homo sapiens GN=SPRY2 PE=1 SV=1                   
m.10110,O11780,Transforming growth factor-beta-induced protein ig-h3 OS=Sus scrofa GN=TGFBI PE=1 SV=1                  
m.10111,3660641,Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_85349 PE=4 SV=1                     
m.10117,Q5F383,Signal peptide peptidase-like 2B OS=Gallus gallus GN=SPPL2B PE=2 SV=1                   
m.10119,Q5R478,AP-3 complex subunit mu-1 OS=Pongo abelii GN=AP3M1 PE=2 SV=1                   
m.1012,Q8IVV2,Lipoxygenase homology domain-containing protein 1 OS=Homo sapiens GN=LOXHD1 PE=2 SV=3                  
m.10120,P56380,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Mus musculus GN=Nudt2 PE=1 SV=3                     
m.10122,Q8TD35,Uncharacterized protein C20orf201 OS=Homo sapiens GN=C20orf201 PE=2 SV=3                    
m.10123,Q9HCM7,Fibrosin-1-like protein OS=Homo sapiens GN=FBRSL1 PE=1 SV=4                     
m.10128,A1L1W9,Monocarboxylate transporter 10 OS=Danio rerio GN=slc16a10 PE=2 SV=1                    
m.10129,5735937,Uncharacterized protein OS=Lottia gigantea GN=LOTGIDRAFT_235745 PE=4 SV=1                     
m.1013,A7RU46,Nck-associated protein 1 homolog OS=Nematostella vectensis GN=napA PE=3 SV=1                   
m.10130,ACO14780,THAP domain-containing protein 2 [Caligus clemensi]                      
m.10132,Q6NZW8,ADP-ribosylation factor-like protein 8B-A OS=Danio rerio GN=arl8ba PE=2 SV=1                   
m.10133,Q9DBC0,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4                     
m.10134,Q86JG6,Cln5-like protein 1 OS=Dictyostelium discoideum GN=cln5la PE=3 SV=1                    
m.10135,Q9YI37,Succinyl-CoA ligase [ADP-forming] subunit beta mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1                           
m.10138,O77775,Neutrophil cytosol factor 2 OS=Bos taurus GN=NCF2 PE=2 SV=1                   
m.10139,Q8R1W8,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1                   
m.10141,A2AQ19,RNA polymerase-associated protein RTF1 homolog OS=Mus musculus GN=Rtf1 PE=1 SV=1                  
m.10142,Q9W7R6,Transcription factor SOX-14 OS=Gallus gallus GN=SOX14 PE=2 SV=1                    
m.10145,3287590,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g223497 PE=4 SV=1                    
m.10146,O43639,Cytoplasmic protein NCK2 OS=Homo sapiens GN=NCK2 PE=1 SV=2                    
m.10147,A7SWD3,Glucose-induced degradation protein 8 homolog OS=Nematostella vectensis GN=v1g247787 PE=3 SV=1                  
m.10148,A8MY62,Putative beta-lactamase-like 1 OS=Homo sapiens GN=LACTBL1 PE=2 SV=2                    
m.10149,Q09694,Saccharopine dehydrogenase [NAD(+) L-lysine-forming] OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=lys3 PE=1 SV=2                           
m.10150,Q6P4S6,Serine/threonine-protein kinase SIK3 OS=Mus musculus GN=Sik3 PE=1 SV=3                    
m.10153,Q6AX73,Fat storage-inducing transmembrane protein 2 OS=Xenopus laevis GN=fitm2 PE=2 SV=1                  
m.10154,Q5U2X7,Mitochondrial import inner membrane translocase subunit Tim21 OS=Rattus norvegicus GN=Timm21 PE=2 SV=1                
m.10155,P57306,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) GN=mtnN PE=3 SV=1                
m.10157,3285248,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140812 PE=4 SV=1                    
m.10159,Q14AT5,Anoctamin-7 OS=Mus musculus GN=Ano7 PE=2 SV=2                      
m.10160,4768686,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10001480 PE=4 SV=1                     
m.10162,Q4JIJ3,Methionine synthase OS=Bos taurus GN=MTR PE=2 SV=1                     
m.10165,Q8N165,Serine/threonine-protein kinase PDIK1L OS=Homo sapiens GN=PDIK1L PE=2 SV=1                    
m.10166,Q6P7N4,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein OS=Xenopus tropicalis GN=hmces PE=2 SV=1                  
m.10167,P50342,Mast cell tryptase OS=Meriones unguiculatus PE=2 SV=1                     
m.10168,Q61205,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1                 
m.10169,Q96AY4,Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4                   
m.1017,Q8VEL2,Myotubularin-related protein 14 OS=Mus musculus GN=Mtmr14 PE=2 SV=2                    
m.10171,Q5XI29,Cleavage and polyadenylation specificity factor subunit 7 OS=Rattus norvegicus GN=Cpsf7 PE=2 SV=1                
m.10174,3277758,Protein tweety homolog OS=Nematostella vectensis GN=v1g244615 PE=3 SV=1                    
m.10175,A4IFW2,Receptor-type tyrosine-protein phosphatase F OS=Danio rerio GN=ptprf PE=2 SV=1                   
m.10176,Q8CG85,MAM domain-containing protein 2 OS=Mus musculus GN=Mamdc2 PE=1 SV=1                   
m.10177,Q9WV76,AP-4 complex subunit beta-1 OS=Mus musculus GN=Ap4b1 PE=2 SV=2                   
m.10178,Q9W0Y8,Sodium channel protein 60E OS=Drosophila melanogaster GN=NaCP60E PE=2 SV=5                   
m.10180,Q9CYZ6,Uncharacterized protein C19orf60 homolog OS=Mus musculus PE=2 SV=1                    
m.10181,Q92696,Geranylgeranyl transferase type-2 subunit alpha OS=Homo sapiens GN=RABGGTA PE=1 SV=2                  
m.10182,O75937,DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2                 
m.10183,P60670,Nuclear protein localization protein 4 homolog OS=Mus musculus GN=Nploc4 PE=1 SV=3                 
m.10185,P35290,Ras-related protein Rab-24 OS=Mus musculus GN=Rab24 PE=1 SV=2                    
m.10186,Q6V0I7,Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=1 SV=2                    
